"Destination English Name","Country","State/Provence","Nearest City","Destination Official Name"
"Spanish Wells","Bahamas","","Spanish Wells","Spanish Wells"
"Alice Town","Bahamas","","Alice Town","Alice Town"
"Arthur’s Town","Bahamas","","Arthur’s Town","Arthur’s Town"
"Colonel Hill","Bahamas","","Colonel Hill","Colonel Hill"
"High Rock","Bahamas","","High Rock","High Rock"
"George Town","Bahamas","","George Town","George Town"
"Lucaya","Bahamas","","Lucaya","Lucaya"
"Matthew Town","Bahamas","","Matthew Town","Matthew Town"
"MANAMA","Bahrain","","MANAMA","MANAMA"
"Al Budayyi`","Bahrain","","Al Budayyi`","Al Budayyi`"
"Al Hadd","Bahrain","","Al Hadd","Al Hadd"
"Al Hamalah","Bahrain","","Al Hamalah","Al Hamalah"
"Al Janabiyah","Bahrain","","Al Janabiyah","Al Janabiyah"
"Al Markh","Bahrain","","Al Markh","Al Markh"
"Al Muharraq","Bahrain","","Al Muharraq","Al Muharraq"
"Bani Jamrah","Bahrain","","Bani Jamrah","Bani Jamrah"
"Barbar","Bahrain","","Barbar","Barbar"
"Jurdab","Bahrain","","Jurdab","Jurdab"
"Madinat `Isa","Bahrain","","Madinat `Isa","Madinat `Isa"
"Madinat Hamad","Bahrain","","Madinat Hamad","Madinat Hamad"
"Oil City","Bahrain","","Oil City","Oil City"
"DHAKA","Bangladesh","","DHAKA","DHAKA"
"Chittagong","Bangladesh","","Chittagong","Chittagong"
"Khulna","Bangladesh","","Khulna","Khulna"
"Rajshahi","Bangladesh","","Rajshahi","Rajshahi"
"Tongi","Bangladesh","","Tongi","Tongi"
"Narayanganj","Bangladesh","","Narayanganj","Narayanganj"
"Rangpur","Bangladesh","","Rangpur","Rangpur"
"Mymensingh","Bangladesh","","Mymensingh","Mymensingh"
"Barisal","Bangladesh","","Barisal","Barisal"
"Jessore","Bangladesh","","Jessore","Jessore"
"Comilla","Bangladesh","","Comilla","Comilla"
"Dinajpur","Bangladesh","","Dinajpur","Dinajpur"
"Bogra","Bangladesh","","Bogra","Bogra"
"Nawabganj","Bangladesh","","Nawabganj","Nawabganj"
"Brahmanbaria","Bangladesh","","Brahmanbaria","Brahmanbaria"
"Tangail","Bangladesh","","Tangail","Tangail"
"Kadamrasul","Bangladesh","","Kadamrasul","Kadamrasul"
"Sirajganj","Bangladesh","","Sirajganj","Sirajganj"
"Narsingdi","Bangladesh","","Narsingdi","Narsingdi"
"Naogaon","Bangladesh","","Naogaon","Naogaon"
"Gazipur","Bangladesh","","Gazipur","Gazipur"
"Jamalpur","Bangladesh","","Jamalpur","Jamalpur"
"Pabna","Bangladesh","","Pabna","Pabna"
"Saidpur","Bangladesh","","Saidpur","Saidpur"
"Bagerhat","Bangladesh","","Bagerhat","Bagerhat"
"Bandarban","Bangladesh","","Bandarban","Bandarban"
"Barguna","Bangladesh","","Barguna","Barguna"
"Barishal","Bangladesh","","Barishal","Barishal"
"Bhola","Bangladesh","","Bhola","Bhola"
"BRIDGETOWN","Barbados","","BRIDGETOWN","BRIDGETOWN"
"Atlantic Shores","Barbados","","Atlantic Shores","Atlantic Shores"
"Bagatelle","Barbados","","Bagatelle","Bagatelle"
"Bloomsbury","Barbados","","Bloomsbury","Bloomsbury"
"Bruce Vale","Barbados","","Bruce Vale","Bruce Vale"
"Cave Hill","Barbados","","Cave Hill","Cave Hill"
"Clapham","Barbados","","Clapham","Clapham"
"Hastings","Barbados","","Hastings","Hastings"
"Holetown","Barbados","","Holetown","Holetown"
"MINSK","Belarus","","MINSK","MINSK"
"Gomel","Belarus","","Gomel","Gomel"
"Mogilev","Belarus","","Mogilev","Mogilev"
"Vitebsk","Belarus","","Vitebsk","Vitebsk"
"Grodno","Belarus","","Grodno","Grodno"
"Brest","Belarus","","Brest","Brest"
"Bobruisk","Belarus","","Bobruisk","Bobruisk"
"Baranovichi","Belarus","","Baranovichi","Baranovichi"
"Borisov","Belarus","","Borisov","Borisov"
"Pinsk","Belarus","","Pinsk","Pinsk"
"Orsha","Belarus","","Orsha","Orsha"
"Mozir","Belarus","","Mozir","Mozir"
"Soligorsk","Belarus","","Soligorsk","Soligorsk"
"Novopolotsk","Belarus","","Novopolotsk","Novopolotsk"
"Lida","Belarus","","Lida","Lida"
"Dzyarzhynsk","Belarus","","Dzyarzhynsk","Dzyarzhynsk"
"Horki","Belarus","","Horki","Horki"
"Hrodna","Belarus","","Hrodna","Hrodna"
"Lahoysk","Belarus","","Lahoysk","Lahoysk"
"Lyakhovichi","Belarus","","Lyakhovichi","Lyakhovichi"
"Lyaskavichy","Belarus","","Lyaskavichy","Lyaskavichy"
"Mazyr","Belarus","","Mazyr","Mazyr"
"Navapolatsk","Belarus","","Navapolatsk","Navapolatsk"
"Polatsk","Belarus","","Polatsk","Polatsk"
"Radoshkovichi","Belarus","","Radoshkovichi","Radoshkovichi"
"Shklow","Belarus","","Shklow","Shklow"
"Zaslawye","Belarus","","Zaslawye","Zaslawye"
"Antwerpen","Belgium","Anvers","Antwerpen","Antwerpen"
"Gent","Belgium","Gand","Gent","Gent"
"Charleroi","Belgium","","Charleroi","Charleroi"
"Liège","Belgium","Luik","Liège","Liège"
"BRUXELLES","Belgium","BRUSSEL","BRUXELLES","BRUXELLES"
"Schaerbeek","Belgium","","Schaerbeek","Schaerbeek"
"Brugge","Belgium","","Brugge","Brugge"
"Anderlecht","Belgium","","Anderlecht","Anderlecht"
"Namur","Belgium","","Namur","Namur"
"Aalbeke","Belgium","","Aalbeke","Aalbeke"
"Aalst","Belgium","","Aalst","Aalst"
"Aalter","Belgium","","Aalter","Aalter"
"Aarschot","Belgium","","Aarschot","Aarschot"
"Aarsele","Belgium","","Aarsele","Aarsele"
"Aartrijke","Belgium","","Aartrijke","Aartrijke"
